Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,"Calendar Year (Jan - Dec), 2021",Mrs Bectors Food Speciality Ltd,F&V,Reported completion of project,26.1,9.69,6.18
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Instafarm Products Pvt. Ltd.,RTE,Reported completion of project,33.51,8.43,6.11
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Rishi Ice and Cold Storage Pvt. Ltd.,F&V,Commercial production started,24.87,7.85,7.85
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Elaf Cold Storage,"Mixed (Meat, F&V)",Commercial production started,17.56,7.16,7.16
India,WEST BENGAL,HOOGHLY,"Calendar Year (Jan - Dec), 2021",NDM Sea Food Processors and Exporters Private Limited,Marine,65% progress,36.08,10,6.5
India,WEST BENGAL,HOWRAH,"Calendar Year (Jan - Dec), 2021",Prime Cold Stores Pvt. Ltd.,F&V,Commercial production started,20.02,4.44,4.44
India,MAHARASHTRA,LATUR,"Calendar Year (Jan - Dec), 2021",Kisan Mitra Cold Storage Private Limited,F&V,Commercial production started,17.96,3.75,3.75
India,ANDHRA PRADESH,SPSR NELLORE,"Calendar Year (Jan - Dec), 2021",Tirumala Milk Products Pvt Ltd,Dairy,Reported 65% progress,31.87,7.23,2.5
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Nature Frozen Foods,F&V,Under Implementation,14.92,9.67,
India,RAJASTHAN,HANUMANGARH,"Calendar Year (Jan - Dec), 2021",Satyam Food Processing Company,Dairy,65% progress,10.79,3.4,2.02
India,MAHARASHTRA,SOLAPUR,"Calendar Year (Jan - Dec), 2021",Manganga Dairy Industries,Dairy,Commercial production started,6.07,1.53,1.53
India,GUJARAT,VADODARA,"Calendar Year (Jan - Dec), 2021",Innovative Cuisine Pvt. Ltd.,F&V,Commercial production started,20.72,7.46,7.46
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",Fresh Produce Impex,F&V,Commercial production started,13.3,8.21,8.21
India,RAJASTHAN,JAIPUR,"Calendar Year (Jan - Dec), 2021",Fidelo Farms Private Limited,Dairy,Commercial production started,2.5,0.83,0.83
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Mehsana Dairy & Food Products Ltd,Dairy,Commercial production started,34.45,8.57,8.57
India,ANDHRA PRADESH,SPSR NELLORE,"Calendar Year (Jan - Dec), 2021",Fedora Sea Foods Private Limited,Marine,65% progress,38.48,10,6.34
India,TAMIL NADU,THIRUVALLUR,"Calendar Year (Jan - Dec), 2021",Aachi Masala Foods Pvt. Ltd.,F&V,Commercial production started,45.57,8.14,8.14
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Shri Ram Solvent Extraction Pvt. Ltd.,F&V,Commercial production started,12.38,7.56,7.56
India,UTTAR PRADESH,ETAWAH,"Calendar Year (Jan - Dec), 2021",SPY Frozen Foods Private Limited,F&V,Reported completion of project,23.97,9.67,6.28
India,NAGALAND,DIMAPUR,"Calendar Year (Jan - Dec), 2021",T J Foods,Meat & Poultry,Under Implementation,12.8,5.5,
India,MAHARASHTRA,AMRAVATI,"Calendar Year (Jan - Dec), 2021",I.G. International,F&V,Commercial production started,22.25,8.96,8.96
India,HARYANA,GURUGRAM,"Calendar Year (Jan - Dec), 2021",Transport Corporation of India Ltd,F&V,Commercial production started,36.92,2.5,2.5
India,MADHYA PRADESH,JABALPUR,"Calendar Year (Jan - Dec), 2021",Bhanu Farms Ltd.,F&V,Commercial production started,39.5,9.48,9.48
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",RK Food Products,F&V,Under Implementation,18.33,10,
India,MANIPUR,SENAPATI,"Calendar Year (Jan - Dec), 2021",Associate Action for Progressive Dev. Society,F&V,Commercial production started,18.49,9.96,9.96
India,RAJASTHAN,BUNDI,"Calendar Year (Jan - Dec), 2021",Friends Agro Industries,F&V,Reported completion of project,23.43,8.74,5.3
India,KERALA,ALAPPUZHA,"Calendar Year (Jan - Dec), 2021",S H Cold Storage Pvt. Ltd.,F&V,Commercial production started,23.97,6.98,6.98
India,MAHARASHTRA,NAGPUR,"Calendar Year (Jan - Dec), 2021",Icee Box Integrated Cold Chain,F&V,65% progress,14.26,3.03,1.97
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",Himachal Pradesh State Agriculture Marketing Board HPSAMB,F&V,Under Implementation,59.25,10,
India,ANDHRA PRADESH,WEST GODAVARI,"Calendar Year (Jan - Dec), 2021",Sandhya Marines Ltd.,Fishery,Commercial production started,13.43,4.22,4.22
India,MAHARASHTRA,THANE,"Calendar Year (Jan - Dec), 2021",VKM Foods Private Limited,Marine,Reported completion of project,16.25,5.5,3.58
India,MAHARASHTRA,NAGPUR,"Calendar Year (Jan - Dec), 2021",B. Y. Agro & Infra Pvt. Ltd.,"Mixed (Dairy, F&V)",Commercial production started,34.94,7.25,7.25
India,KERALA,KOZHIKODE,"Calendar Year (Jan - Dec), 2021",The Uralungal Labour Contract Co- operative Society Limited (ULCCS),Dairy,Under Implementation,44.05,10,
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Gayatri Dairy Products Pvt. Ltd,Dairy,Commercial production started,15.15,4.5,4.5
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Jai Kissan Foods,F&V,Reported completion of project,23.01,10,6.5
India,JAMMU AND KASHMIR,SRINAGAR,"Calendar Year (Jan - Dec), 2021",Hyacinth Product,Mixed,65% progress,7.89,3.39,1.63
India,UTTAR PRADESH,MATHURA,"Calendar Year (Jan - Dec), 2021",Solas Industries,Irradiation,65% progress,22.76,7.26,4.71
